cashier_id,product_id,quantity,total,date,customer_id,customer_name
1001,1,1,3.49,2024-07-15,1,John Doe
1001,30,3,25.47,2024-07-15,2,Jane Smith
1001,6,5,16.93,2024-07-07,10,op
1005,1,2,1.0,2024-07-07,9,a
1005,2,3,2.25,2024-07-07,9,a
1005,3,1,0.6,2024-07-07,9,a
1001,1,1,3.49,2024-07-07,18,izhak
1001,5,5,4.95,2024-07-07,19,s
1001,4,1,2.49,2024-07-07,21,s
1001,1,4,13.96,2024-07-16,19,s
1001,1,1,3.49,2024-07-16,19,s
1001,1,1,3.49,2024-07-17,17,avi
1001,5,1,0.99,2024-07-17,17,avi
1001,1,1,3.49,2024-07-17,1,John Doe
1002,1,17,59.330000000000005,2024-07-17,19,s
1002,17,11,32.89,2024-07-17,19,s
1006,26,3,31.47,2024-07-17,24,Ben I Sela
1006,27,5,49.95,2024-07-17,24,Ben I Sela
1006,26,40,419.6,2024-07-21,3,Haim ben Haim
1007,11,3,4.47,2024-07-21,7,Yosi ben Yosi
1007,26,1,10.49,2024-07-21,7,Yosi ben Yosi
1007,14,11,54.89,2024-07-21,7,Yosi ben Yosi
1006,2,10,44.900000000000006,2024-07-21,1,hh
1006,5,6,5.9399999999999995,2024-07-21,1,hh
1006,26,4,41.96,2024-07-21,1,hh
1004,27,5,49.95,2024-07-23,2,James J
1004,30,5,42.45,2024-07-23,2,James J
